Date Local,County Code,Parameter Name,Units of Measure,Arithmetic Mean,CBSA Name
2019-01-01,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),4.620833,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.3,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.158333,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.1,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.375,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.258333,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.2,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),4.7,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),4.766667,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.270833,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.2,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),4.6,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),1.8,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),4.1,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),1.845833,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.0875,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),4.104167,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),4.970833,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.0,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.1875,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.404348,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.1,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.4,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),4.9,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.3,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.329167,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.429167,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.2,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.8,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.4,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,99,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.3,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.813043,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.4,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.1,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.5,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.1,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.325,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.929167,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.9,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.3,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.425,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.558333,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),11.5,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.379167,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.7,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.5,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.3,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),12.4,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.704167,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),11.5,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.4,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),12.4,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.479167,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.766667,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),11.429167,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),11.1,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.6,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.579167,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.7,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),11.4,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.5,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),12.016667,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),12.0,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),11.116667,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.625,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.1125,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.1,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.1125,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.2,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),3.1,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,86,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),6.2,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),4.341667,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),4.3,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.0875,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,11,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),5.3375,"Miami-Fort Lauderdale-West Palm Beach, FL"
